rank,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
179,Killian Hayes,PG,19,DET,7,7,21.1,1.9,6.7,.277,0.7,2.9,.250,1.1,3.9,.296,.330,0.1,0.3,.500,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6
180,Gordon Hayward,SF,30,CHO,8,8,34.4,8.3,16.8,.493,2.0,5.5,.364,6.3,11.3,.556,.552,3.4,3.8,.900,0.5,5.3,5.8,4.4,1.5,0.4,2.0,2.8,21.9
181,Juan Hernangómez,PF,25,MIN,8,3,18.1,2.6,6.5,.404,1.1,3.5,.321,1.5,3.0,.500,.490,0.6,1.0,.625,0.9,3.5,4.4,0.5,0.6,0.3,0.4,0.8,7.0
182,Willy Hernangómez,C,26,NOP,1,0,7.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.0,4.0,.250,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
183,Tyler Herro,SG,21,MIA,7,7,32.7,5.1,11.6,.444,1.6,5.3,.297,3.6,6.3,.568,.512,1.6,2.1,.733,0.1,6.3,6.4,4.1,0.4,0.0,2.3,1.7,13.4
184,Buddy Hield,SG,28,SAC,8,8,35.6,5.0,14.6,.342,3.5,10.1,.346,1.5,4.5,.333,.462,1.6,2.0,.813,0.4,3.6,4.0,2.5,0.6,0.4,1.9,3.0,15.1
185,George Hill,PG,34,OKC,6,6,24.8,4.7,9.2,.509,2.2,5.0,.433,2.5,4.2,.600,.627,1.3,1.7,.800,0.8,1.3,2.2,3.7,1.0,0.2,0.8,0.7,12.8
186,Solomon Hill,PF,29,ATL,8,0,16.8,1.5,4.5,.333,1.3,3.5,.357,0.3,1.0,.250,.472,0.4,0.4,1.000,0.5,1.8,2.3,0.4,0.3,0.4,0.8,2.0,4.6
187,Nate Hinton,SG,21,DAL,1,0,0.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Aaron Holiday,PG,24,IND,8,5,20.9,2.4,6.4,.373,0.9,3.4,.259,1.5,3.0,.500,.441,0.1,0.3,.500,0.4,1.3,1.6,1.6,0.9,0.3,0.6,2.8,5.8
189,Jrue Holiday,PG,30,MIL,8,8,30.3,5.9,11.8,.500,1.9,4.8,.395,4.0,7.0,.571,.580,1.1,1.1,1.000,1.1,3.0,4.1,5.4,1.9,0.5,1.4,1.9,14.8
190,Justin Holiday,SG,31,IND,8,0,29.5,3.8,7.1,.526,1.8,4.1,.424,2.0,3.0,.667,.649,1.3,1.5,.833,0.8,2.8,3.5,1.4,1.4,0.4,1.1,2.6,10.5
191,Richaun Holmes,C,27,SAC,8,8,27.6,5.6,8.1,.692,0.0,0.1,.000,5.6,8.0,.703,.692,2.0,2.4,.842,3.0,5.4,8.4,1.5,1.1,0.8,1.4,4.3,13.3
192,Rodney Hood,SF,28,POR,6,0,13.7,0.8,3.3,.250,0.5,1.5,.333,0.3,1.8,.182,.325,0.0,0.0,,0.0,1.3,1.3,1.5,0.5,0.2,0.7,0.7,2.2
193,Al Horford,C,34,OKC,6,6,26.3,3.5,8.8,.396,1.7,5.3,.313,1.8,3.5,.524,.491,0.2,0.2,1.000,0.7,6.5,7.2,2.7,0.2,0.8,0.7,1.3,8.8
194,Talen Horton-Tucker,SG,20,LAL,8,0,16.1,2.6,6.4,.412,0.6,2.3,.278,2.0,4.1,.485,.461,1.0,1.1,.889,0.4,2.0,2.4,1.5,0.8,0.6,0.6,1.6,6.9
195,Danuel House,SF,27,HOU,4,4,32.5,2.5,6.8,.370,0.8,3.8,.200,1.8,3.0,.583,.426,1.8,2.5,.700,0.3,4.3,4.5,2.3,0.3,0.3,0.3,2.5,7.5
196,Dwight Howard,C,35,PHI,9,1,13.7,2.4,3.4,.710,0.1,0.1,1.000,2.3,3.3,.700,.726,0.9,1.8,.500,1.7,4.7,6.3,0.6,0.2,0.7,1.9,3.3,5.9
197,Markus Howard,SG,21,DEN,3,0,0.7,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Kevin Huerter,SG,22,ATL,8,0,26.9,4.6,10.3,.451,2.4,5.8,.413,2.3,4.5,.500,.567,0.8,0.9,.857,0.9,2.5,3.4,3.3,1.3,0.1,1.3,2.6,12.4
199,Elijah Hughes,SF,22,UTA,3,0,5.3,0.7,3.0,.222,0.3,1.7,.200,0.3,1.3,.250,.278,1.0,1.3,.750,0.0,1.0,1.0,0.3,0.0,0.3,0.7,0.0,2.7
200,De'Andre Hunter,SF,23,ATL,8,8,32.5,5.9,11.5,.511,2.3,5.3,.429,3.6,6.3,.580,.609,2.0,2.5,.800,1.0,5.6,6.6,2.4,0.5,0.5,1.0,3.1,16.0
201,Chandler Hutchison,SF,24,CHI,4,0,13.0,1.3,4.0,.313,0.3,0.8,.333,1.0,3.3,.308,.344,0.5,0.5,1.000,0.3,4.0,4.3,1.0,0.3,0.0,0.8,1.8,3.3
202,Serge Ibaka,C,31,LAC,9,9,24.9,4.6,9.8,.466,1.2,3.4,.355,3.3,6.3,.526,.528,1.4,1.9,.765,1.4,5.6,7.0,1.6,0.3,1.2,1.2,2.4,11.8
203,Andre Iguodala,SF,37,MIA,6,2,18.5,1.5,4.2,.360,1.5,3.3,.450,0.0,0.8,.000,.540,0.0,0.0,,0.3,2.7,3.0,1.2,0.7,0.3,1.2,1.8,4.5
204,Joe Ingles,SF,33,UTA,8,0,26.3,3.8,8.0,.469,1.8,5.0,.350,2.0,3.0,.667,.578,0.8,0.9,.857,0.6,3.4,4.0,3.4,0.4,0.1,1.9,2.0,10.0
205,Brandon Ingram,SF,23,NOP,8,8,34.4,8.6,18.6,.463,2.1,5.8,.370,6.5,12.9,.505,.520,5.5,6.5,.846,0.6,6.4,7.0,5.5,0.6,0.8,2.5,0.9,24.9
206,Kyrie Irving,PG,28,BRK,7,7,33.0,10.1,20.1,.504,3.7,8.7,.426,6.4,11.4,.563,.596,3.1,3.1,1.000,0.7,4.6,5.3,6.1,1.6,0.3,2.1,2.6,27.1
207,Wesley Iwundu,SF,26,DAL,4,0,5.0,1.5,2.5,.600,0.3,0.8,.333,1.3,1.8,.714,.650,0.3,0.5,.500,0.0,0.5,0.5,0.0,0.3,0.0,0.0,0.3,3.5
208,Josh Jackson,SG,23,DET,6,4,24.2,6.2,12.5,.493,1.5,4.8,.310,4.7,7.7,.609,.553,1.7,2.5,.667,0.7,3.8,4.5,2.0,1.0,0.7,1.8,2.7,15.5
209,Justin Jackson,SF,25,OKC,2,1,24.0,2.5,6.5,.385,0.0,4.0,.000,2.5,2.5,1.000,.385,2.0,2.0,1.000,0.5,4.0,4.5,1.5,0.5,0.0,2.5,1.5,7.0
210,Reggie Jackson,SG,30,LAC,9,0,14.2,2.4,5.2,.468,1.1,2.9,.385,1.3,2.3,.571,.574,0.2,0.6,.400,0.1,1.6,1.7,2.2,0.4,0.1,0.6,1.4,6.2
211,Justin James,SF,24,SAC,2,0,5.5,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.0,0.5,.000,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0
