rank,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
253,Kevin Love,PF,32,CLE,2,2,23.0,3.0,9.0,.333,1.5,4.5,.333,1.5,4.5,.333,.417,2.0,2.5,.800,1.0,5.0,6.0,2.5,0.5,0.0,1.5,0.5,9.5
254,Kyle Lowry,PG,34,TOR,7,7,37.0,6.1,14.1,.434,2.9,8.0,.357,3.3,6.1,.535,.535,4.3,4.7,.909,1.0,4.1,5.1,7.4,1.3,0.0,3.3,3.7,19.4
255,Timothé Luwawu-Cabarrot,SF,25,BRK,9,4,20.3,3.2,7.1,.453,1.7,4.7,.357,1.6,2.4,.636,.570,0.8,0.8,1.000,0.4,1.9,2.3,1.0,0.7,0.2,1.0,1.8,8.9
256,Trey Lyles,PF,25,SAS,4,0,7.5,0.5,1.5,.333,0.3,0.8,.333,0.3,0.8,.333,.417,0.0,0.3,.000,0.5,2.5,3.0,0.3,0.0,0.0,0.0,0.0,1.3
257,Thon Maker,C,23,CLE,6,0,9.5,1.0,1.5,.667,0.0,0.2,.000,1.0,1.3,.750,.667,1.2,1.3,.875,0.8,1.5,2.3,0.7,0.2,0.3,0.5,0.8,3.2
258,Théo Maledon,PG,19,OKC,7,0,20.4,2.4,5.7,.425,1.3,3.9,.333,1.1,1.9,.615,.538,0.7,1.3,.556,0.1,1.6,1.7,2.7,0.7,0.0,2.4,1.9,6.9
259,Karim Mané,PG,20,ORL,3,0,8.3,0.0,1.3,.000,0.0,0.0,,0.0,1.3,.000,.000,0.7,0.7,1.000,0.0,1.3,1.3,0.0,0.0,0.0,0.3,0.3,0.7
260,Terance Mann,SG,24,LAC,8,0,9.8,0.8,2.5,.300,0.0,0.4,.000,0.8,2.1,.353,.300,0.0,0.0,,0.5,1.6,2.1,0.6,0.0,0.3,0.5,1.3,1.5
261,Nico Mannion,PG,19,GSW,1,0,8.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
262,Boban Marjanović,C,32,DAL,5,0,8.8,2.8,4.2,.667,0.0,0.4,.000,2.8,3.8,.737,.667,0.4,0.8,.500,1.2,2.0,3.2,0.0,0.0,0.0,0.2,1.0,6.0
263,Lauri Markkanen,PF,23,CHI,4,4,26.5,5.5,11.0,.500,2.8,5.8,.478,2.8,5.3,.524,.625,3.5,4.5,.778,1.0,5.8,6.8,1.3,0.8,0.3,1.8,1.5,17.3
264,Caleb Martin,SF,25,CHO,7,0,15.6,2.6,5.1,.500,0.6,2.0,.286,2.0,3.1,.636,.556,0.9,1.4,.600,0.6,1.7,2.3,1.4,0.9,0.1,0.9,0.7,6.6
265,Cody Martin,SF,25,CHO,6,0,14.8,1.3,2.8,.471,0.0,0.8,.000,1.3,2.0,.667,.471,0.5,0.7,.750,0.7,2.2,2.8,1.7,0.3,0.0,0.3,0.7,3.2
266,Kelan Martin,SF,25,IND,3,0,5.7,0.3,2.7,.125,0.0,1.0,.000,0.3,1.7,.200,.125,0.0,0.0,,0.3,0.7,1.0,0.0,0.7,0.0,0.7,1.0,0.7
267,Garrison Mathews,SG,24,WAS,2,0,5.0,0.5,2.0,.250,0.5,2.0,.250,0.0,0.0,,.375,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.5
268,Dakota Mathias,SG,25,PHI,4,0,7.5,1.8,3.8,.467,0.8,2.3,.333,1.0,1.5,.667,.567,0.5,0.8,.667,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.3,4.8
269,Wesley Matthews,SG,34,LAL,9,0,20.8,1.9,4.1,.459,1.3,3.4,.387,0.6,0.7,.833,.622,0.1,0.2,.500,0.3,1.0,1.3,1.1,0.4,0.3,0.1,1.3,5.2
270,Tyrese Maxey,SG,20,PHI,9,0,15.7,3.1,6.8,.459,0.6,1.6,.357,2.6,5.2,.489,.500,0.1,0.1,1.000,0.1,1.6,1.7,1.6,0.6,0.1,0.6,0.8,6.9
271,Skylar Mays,SG,23,ATL,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
272,CJ McCollum,SG,29,POR,8,8,34.5,9.5,20.9,.455,4.8,11.0,.432,4.8,9.9,.481,.569,3.0,3.5,.857,0.4,3.6,4.0,5.3,1.6,0.4,1.3,1.9,26.8
273,T.J. McConnell,PG,28,IND,8,0,17.0,1.8,3.3,.538,0.0,0.3,.000,1.8,3.0,.583,.538,0.1,0.3,.500,0.5,2.4,2.9,4.4,1.5,0.0,1.4,1.5,3.6
274,Jaden McDaniels,PF,20,MIN,5,0,7.4,1.2,2.2,.545,0.8,1.6,.500,0.4,0.6,.667,.727,0.2,0.4,.500,0.4,1.2,1.6,0.8,0.4,0.2,0.6,1.0,3.4
275,Jalen McDaniels,SF,23,CHO,7,0,11.6,1.9,3.4,.542,0.3,0.9,.333,1.6,2.6,.611,.583,1.0,1.6,.636,0.4,2.3,2.7,0.7,0.3,0.0,1.1,1.9,5.0
276,Doug McDermott,PF,29,IND,8,0,23.5,4.0,9.1,.438,1.6,5.1,.317,2.4,4.0,.594,.527,1.3,1.9,.667,1.0,2.8,3.8,0.9,0.3,0.0,0.9,1.8,10.9
277,Sean McDermott,SF,24,MEM,3,0,14.0,0.7,2.3,.286,0.3,1.7,.200,0.3,0.7,.500,.357,0.7,0.7,1.000,0.7,0.3,1.0,1.0,0.0,0.0,1.0,0.3,2.3
278,JaVale McGee,C,33,CLE,9,0,17.0,3.8,7.7,.493,0.4,1.0,.444,3.3,6.7,.500,.522,1.3,2.4,.545,2.2,4.3,6.6,1.2,0.8,0.9,1.2,3.0,9.3
279,Rodney McGruder,SG,29,DET,2,0,6.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.5
280,Alfonzo McKinnie,SF,28,LAL,5,0,3.0,1.0,1.0,1.000,0.4,0.4,1.000,0.6,0.6,1.000,1.200,0.4,0.4,1.000,0.2,0.4,0.6,0.0,0.0,0.0,0.2,0.2,2.8
281,Jordan McLaughlin,PG,24,MIN,4,0,16.0,1.8,4.3,.412,0.5,1.8,.286,1.3,2.5,.500,.471,0.0,0.0,,0.3,1.5,1.8,3.5,0.5,0.3,0.8,0.3,4.0
282,Nicolò Melli,PF,30,NOP,5,0,11.8,0.6,2.6,.231,0.4,2.0,.200,0.2,0.6,.333,.308,0.6,0.8,.750,0.2,2.4,2.6,1.2,0.4,0.0,0.8,0.8,2.2
283,De'Anthony Melton,PG,22,MEM,3,0,20.7,2.3,6.3,.368,0.7,2.3,.286,1.7,4.0,.417,.421,0.0,0.0,,0.0,2.3,2.3,3.0,1.3,1.3,1.7,2.0,5.3
284,Sam Merrill,SG,24,MIL,5,0,7.8,0.8,1.4,.571,0.8,1.0,.800,0.0,0.4,.000,.857,0.0,0.0,,0.6,1.2,1.8,1.4,0.2,0.0,0.6,0.4,2.4
285,Chimezie Metu,C,23,SAC,1,0,5.0,3.0,4.0,.750,1.0,1.0,1.000,2.0,3.0,.667,.875,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
286,Khris Middleton,SF,29,MIL,8,8,31.4,7.9,14.5,.543,2.9,5.4,.535,5.0,9.1,.548,.642,2.5,2.6,.952,0.8,5.4,6.1,6.1,1.0,0.1,2.6,2.3,21.1
287,Darius Miller,SF,30,OKC,1,0,7.0,1.0,3.0,.333,1.0,3.0,.333,0.0,0.0,,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
288,Patty Mills,PG,32,SAS,8,0,24.5,4.5,9.1,.493,3.0,5.4,.558,1.5,3.8,.400,.658,1.9,2.0,.938,0.3,1.5,1.8,3.3,0.4,0.1,0.8,1.4,13.9
289,Paul Millsap,PF,35,DEN,8,8,24.9,4.1,7.6,.541,1.4,3.1,.440,2.8,4.5,.611,.631,1.6,2.5,.650,1.0,3.0,4.0,1.6,0.3,0.0,1.4,2.5,11.3
290,Shake Milton,SG,24,PHI,9,1,25.9,4.9,10.7,.458,1.2,4.4,.275,3.7,6.2,.589,.516,3.1,3.8,.824,0.2,1.4,1.7,3.3,1.0,0.2,1.4,2.1,14.1
291,Donovan Mitchell,SG,24,UTA,8,8,33.6,7.6,20.1,.379,3.0,9.3,.324,4.6,10.9,.425,.453,3.0,3.9,.774,0.9,2.8,3.6,5.0,0.9,0.3,3.4,1.6,21.3
292,Adam Mokoka,SG,22,CHI,3,0,10.7,1.3,3.7,.364,0.0,2.0,.000,1.3,1.7,.800,.364,0.0,0.0,,0.3,0.7,1.0,1.0,0.7,0.3,0.3,1.7,2.7
293,Malik Monk,SG,22,CHO,1,0,10.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,1.0,2.0,.500,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0
294,E'Twaun Moore,SG,31,PHO,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
295,Ja Morant,PG,21,MEM,3,3,27.0,10.0,18.3,.545,1.0,3.0,.333,9.0,15.3,.587,.573,5.3,6.3,.842,0.7,1.7,2.3,6.3,0.7,0.7,2.3,2.0,26.3
296,Juwan Morgan,PF,23,UTA,3,0,3.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.0
297,Marcus Morris,PF,31,LAC,1,0,18.0,4.0,9.0,.444,2.0,6.0,.333,2.0,3.0,.667,.556,2.0,2.0,1.000,2.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,12.0
298,Markieff Morris,PF,31,LAL,9,0,14.4,1.2,3.4,.355,0.8,2.4,.318,0.4,1.0,.444,.468,0.2,0.3,.667,0.9,3.3,4.2,0.9,0.1,0.3,0.3,1.8,3.4
299,Monte Morris,PG,25,DEN,8,1,26.9,3.9,7.8,.500,1.3,3.4,.370,2.6,4.4,.600,.581,1.9,2.9,.652,0.4,1.9,2.3,3.3,0.9,0.3,0.4,1.0,10.9
300,Mychal Mulder,PG,26,GSW,8,0,9.9,1.5,2.9,.522,1.3,2.5,.500,0.3,0.4,.667,.739,0.4,0.8,.500,0.0,1.0,1.0,0.5,0.1,0.1,0.4,0.9,4.6
301,Dejounte Murray,PG,24,SAS,8,8,31.3,6.8,14.5,.466,1.0,3.4,.296,5.8,11.1,.517,.500,1.6,2.1,.765,0.9,5.9,6.8,5.3,1.4,0.0,2.4,2.3,16.1
302,Jamal Murray,PG,23,DEN,7,7,36.7,7.6,15.9,.477,2.7,7.1,.380,4.9,8.7,.557,.563,4.1,5.1,.806,1.0,3.0,4.0,3.9,1.0,0.1,2.1,2.7,22.0
303,Mike Muscala,C,29,OKC,7,0,18.1,3.7,7.4,.500,2.4,5.4,.447,1.3,2.0,.643,.663,1.1,1.1,1.000,0.1,3.0,3.1,0.9,0.3,0.4,0.6,1.3,11.0
304,Sviatoslav Mykhailiuk,SF,23,DET,8,0,17.8,2.8,7.0,.393,1.9,5.6,.333,0.9,1.4,.636,.527,1.4,1.4,1.000,0.1,1.9,2.0,1.4,0.6,0.1,0.4,0.9,8.8
305,Larry Nance Jr.,PF,28,CLE,9,8,34.4,3.8,7.6,.500,1.3,3.4,.387,2.4,4.1,.595,.588,0.7,1.3,.500,1.6,4.6,6.1,4.3,2.4,0.6,1.7,2.1,9.6
306,Aaron Nesmith,SF,21,BOS,3,0,13.0,1.0,4.0,.250,0.7,3.0,.222,0.3,1.0,.333,.333,0.0,0.0,,0.3,1.3,1.7,0.3,0.0,0.3,0.7,2.3,2.7
307,Raul Neto,PG,28,WAS,8,2,17.0,3.6,6.4,.569,1.5,3.1,.480,2.1,3.3,.654,.686,0.5,0.6,.800,0.3,0.9,1.1,1.5,1.1,0.0,0.5,1.5,9.3
308,Georges Niang,PF,27,UTA,8,0,7.8,0.4,1.4,.273,0.3,1.1,.222,0.1,0.3,.500,.364,0.0,0.0,,0.3,1.3,1.5,0.3,0.0,0.0,0.1,0.8,1.0
309,Zeke Nnaji,PF,20,DEN,3,0,1.7,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
310,Nerlens Noel,C,26,NYK,6,0,15.2,1.7,3.0,.556,0.0,0.0,,1.7,3.0,.556,.556,0.3,0.5,.667,1.5,3.5,5.0,0.3,0.8,1.2,1.7,1.7,3.7
311,Jaylen Nowell,SG,21,MIN,1,0,8.0,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
312,Frank Ntilikina,PG,22,NYK,4,0,10.5,1.5,3.5,.429,1.3,2.3,.556,0.3,1.3,.200,.607,0.3,0.8,.333,0.3,0.8,1.0,0.8,0.8,0.0,0.5,1.8,4.5
313,Kendrick Nunn,PG,25,MIA,5,0,12.2,2.2,5.8,.379,0.2,1.8,.111,2.0,4.0,.500,.397,0.6,0.6,1.000,0.2,0.8,1.0,1.8,0.4,0.2,0.6,0.4,5.2
314,Jusuf Nurkić,C,26,POR,8,8,24.6,4.6,9.3,.500,0.3,1.1,.222,4.4,8.1,.538,.514,0.9,2.0,.438,1.9,5.9,7.8,3.3,0.8,0.8,1.9,2.9,10.4
315,David Nwaba,SF,28,HOU,5,4,27.0,3.8,8.6,.442,0.8,3.2,.250,3.0,5.4,.556,.488,1.4,3.0,.467,0.6,2.4,3.0,0.4,1.0,0.8,0.6,2.4,9.8
316,Jordan Nwora,SF,22,MIL,6,0,10.2,2.5,5.0,.500,1.2,2.2,.538,1.3,2.8,.471,.617,1.2,1.3,.875,0.2,2.2,2.3,0.0,0.7,0.2,1.0,1.3,7.3
317,Royce O'Neale,SF,27,UTA,8,8,31.5,2.5,5.3,.476,1.8,3.9,.452,0.8,1.4,.545,.643,0.4,0.8,.500,1.6,6.4,8.0,1.1,0.5,0.4,1.1,2.5,7.1
318,Semi Ojeleye,PF,26,BOS,8,0,16.1,2.0,4.6,.432,1.1,2.6,.429,0.9,2.0,.438,.554,0.6,1.1,.556,1.0,2.0,3.0,0.5,0.0,0.0,0.5,1.3,5.8
319,Jahlil Okafor,C,25,DET,5,0,11.4,2.8,4.2,.667,0.0,0.0,,2.8,4.2,.667,.667,0.0,0.0,,2.0,1.4,3.4,0.4,0.0,0.2,0.4,1.6,5.6
320,Chuma Okeke,PF,22,ORL,5,0,18.2,1.0,2.8,.357,0.4,1.4,.286,0.6,1.4,.429,.429,0.6,1.2,.500,1.0,1.6,2.6,1.6,0.6,0.2,0.6,0.4,3.0
321,Josh Okogie,SG,22,MIN,3,3,25.0,3.3,7.0,.476,0.3,2.0,.167,3.0,5.0,.600,.500,1.0,1.0,1.000,1.3,2.0,3.3,1.7,0.0,0.3,1.0,2.0,8.0
322,Isaac Okoro,SG,20,CLE,4,4,35.5,2.8,5.8,.478,0.5,2.5,.200,2.3,3.3,.692,.522,1.3,1.5,.833,0.5,1.5,2.0,2.3,0.5,0.5,1.5,2.5,7.3
323,KZ Okpala,PF,21,MIA,3,0,11.3,0.7,2.0,.333,0.0,1.0,.000,0.7,1.0,.667,.333,0.3,1.3,.250,0.3,1.7,2.0,0.0,0.7,0.0,0.3,0.7,1.7
324,Victor Oladipo,SG,28,IND,7,7,33.0,7.0,15.9,.441,3.0,7.3,.412,4.0,8.6,.467,.536,3.4,4.7,.727,0.1,5.9,6.0,4.3,1.1,0.3,1.9,2.4,20.4
325,Kelly Olynyk,C,29,MIA,6,2,25.2,3.7,7.8,.468,2.5,5.8,.429,1.2,2.0,.583,.628,0.7,1.0,.667,0.7,4.7,5.3,1.7,1.0,0.8,1.2,2.5,10.5
326,Miye Oni,SG,23,UTA,4,0,5.8,0.3,1.3,.200,0.3,0.8,.333,0.0,0.5,.000,.300,0.0,0.0,,0.3,1.0,1.3,0.5,0.0,0.3,0.3,1.0,0.8
327,Cedi Osman,SF,25,CLE,9,3,27.9,4.0,11.8,.340,2.3,6.9,.339,1.7,4.9,.341,.439,1.3,2.0,.667,0.6,3.2,3.8,3.4,1.0,0.2,1.1,2.3,11.7
328,Daniel Oturu,C,21,LAC,4,0,5.5,1.3,2.0,.625,0.0,0.3,.000,1.3,1.8,.714,.625,0.0,0.0,,0.3,1.5,1.8,0.5,0.0,0.5,0.3,0.8,2.5
329,Kelly Oubre Jr.,SF,25,GSW,8,8,27.0,4.3,12.6,.337,0.8,5.3,.143,3.5,7.4,.475,.366,1.3,1.8,.714,1.5,4.1,5.6,0.6,1.5,1.0,1.9,2.5,10.5
330,Eric Paschall,PF,24,GSW,8,2,19.4,4.4,7.9,.556,0.5,1.6,.308,3.9,6.3,.620,.587,2.5,3.0,.833,0.8,2.3,3.0,1.4,0.4,0.3,0.5,1.9,11.8
331,Anžejs Pasečņiks,C,25,WAS,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0
332,Patrick Patterson,PF,31,LAC,5,0,11.4,1.0,2.8,.357,0.6,2.0,.300,0.4,0.8,.500,.464,0.4,0.4,1.000,0.6,1.4,2.0,0.6,0.4,0.0,0.6,1.4,3.0
333,Chris Paul,PG,35,PHO,8,8,30.1,4.6,11.4,.407,0.9,2.6,.333,3.8,8.8,.429,.445,3.1,3.3,.962,0.9,3.8,4.6,8.3,0.9,0.4,1.8,2.6,13.3
334,Cameron Payne,PG,26,PHO,8,0,18.1,3.1,6.3,.500,1.1,2.3,.500,2.0,4.0,.500,.590,0.5,0.5,1.000,0.3,2.3,2.5,4.5,0.5,0.1,1.1,2.4,7.9
335,Elfrid Payton,PG,26,NYK,8,8,29.1,6.5,13.3,.491,0.8,2.0,.375,5.8,11.3,.511,.519,0.9,1.6,.538,1.3,2.8,4.0,5.0,0.5,0.3,2.6,1.9,14.6
336,Reggie Perry,PF,20,BRK,4,0,5.0,0.8,2.3,.333,0.0,0.8,.000,0.8,1.5,.500,.333,0.3,0.3,1.000,0.3,1.8,2.0,1.0,0.0,0.0,0.8,0.8,1.8
337,Theo Pinson,SG,25,NYK,4,0,2.3,0.0,0.8,.000,0.0,0.8,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
338,Mason Plumlee,C,30,DET,8,8,26.8,3.0,5.5,.545,0.0,0.4,.000,3.0,5.1,.585,.545,1.5,2.1,.706,3.3,6.4,9.6,3.6,1.3,0.5,1.5,3.3,7.5
339,Jakob Poeltl,C,25,SAS,8,3,20.6,2.4,4.3,.559,0.0,0.0,,2.4,4.3,.559,.559,0.3,1.1,.222,2.8,3.9,6.6,2.4,0.5,0.4,1.0,1.8,5.0
340,Vincent Poirier,C,27,PHI,3,0,4.7,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.7,1.3,.500,0.7,0.3,1.0,0.3,0.0,0.3,0.3,0.3,1.3
341,Aleksej Pokusevski,PF,19,OKC,5,0,16.0,0.4,4.2,.095,0.2,3.2,.063,0.2,1.0,.200,.119,0.0,0.0,,0.2,3.6,3.8,1.4,1.0,1.0,2.0,1.2,1.0
342,Jordan Poole,SG,21,GSW,6,0,11.8,2.0,4.8,.414,0.8,2.8,.294,1.2,2.0,.583,.500,1.5,1.5,1.000,0.2,1.2,1.3,0.8,0.2,0.0,0.7,1.2,6.3
343,Michael Porter Jr.,SF,22,DEN,4,4,29.3,7.5,13.3,.566,2.8,6.5,.423,4.8,6.8,.704,.670,1.8,2.0,.875,1.3,5.5,6.8,1.8,1.0,1.5,0.5,2.8,19.5
344,Otto Porter,SF,27,CHI,9,5,25.4,4.6,10.4,.436,2.2,5.3,.417,2.3,5.1,.457,.543,2.7,3.0,.889,1.4,5.4,6.9,2.0,0.9,0.0,1.1,1.9,14.0
345,Bobby Portis,C,25,MIL,8,0,23.5,4.6,8.4,.552,0.9,2.3,.389,3.8,6.1,.612,.604,1.3,1.5,.833,2.1,5.9,8.0,1.5,0.8,0.6,1.0,2.0,11.4
346,Dwight Powell,C,29,DAL,8,6,19.6,1.5,3.0,.500,0.1,0.4,.333,1.4,2.6,.524,.521,2.0,2.8,.727,1.0,2.4,3.4,1.1,1.4,0.4,0.9,2.6,5.1
347,Norman Powell,SG,27,TOR,7,1,22.7,2.6,8.4,.305,1.6,4.3,.367,1.0,4.1,.241,.398,2.4,3.0,.810,0.0,1.4,1.4,0.7,1.1,0.3,1.0,2.0,9.1
348,Taurean Prince,PF,26,BRK,9,3,16.3,2.0,5.3,.375,1.1,3.0,.370,0.9,2.3,.381,.479,1.9,2.2,.850,0.0,2.2,2.2,0.4,0.7,0.7,0.8,2.0,7.0
349,Payton Pritchard,SG,23,BOS,9,0,22.9,3.3,6.7,.500,0.9,2.6,.348,2.4,4.1,.595,.567,0.8,0.9,.875,0.4,2.0,2.4,3.2,1.2,0.3,1.8,2.0,8.3
350,Immanuel Quickley,PG,21,NYK,4,0,13.0,2.0,3.8,.533,0.8,1.8,.429,1.3,2.0,.625,.633,2.8,2.8,1.000,0.0,1.0,1.0,1.5,0.8,0.3,1.0,1.8,7.5
351,Jahmi'us Ramsey,SG,19,SAC,2,0,4.0,1.0,1.0,1.000,0.5,0.5,1.000,0.5,0.5,1.000,1.250,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.5
352,Julius Randle,PF,26,NYK,8,8,38.6,8.3,17.0,.485,1.4,4.0,.344,6.9,13.0,.529,.526,5.3,6.8,.778,2.0,10.0,12.0,7.4,0.6,0.3,4.9,3.8,23.1
353,Cam Reddish,SF,21,ATL,8,8,28.4,3.5,10.1,.346,1.3,4.4,.286,2.3,5.8,.391,.407,2.1,2.6,.810,0.8,3.8,4.5,1.4,1.1,0.3,1.5,2.8,10.4
354,J.J. Redick,SG,36,NOP,8,0,21.3,1.9,6.9,.273,1.1,4.6,.243,0.8,2.3,.333,.355,1.3,1.3,1.000,0.1,1.4,1.5,1.0,0.3,0.0,0.5,2.0,6.1
355,Paul Reed,PF,21,PHI,1,0,1.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
356,Naz Reid,C,21,MIN,8,3,19.5,4.0,7.5,.533,0.8,2.3,.333,3.3,5.3,.619,.583,1.6,2.5,.650,1.0,2.8,3.8,1.4,0.5,0.9,1.1,3.4,10.4
357,Nick Richards,PF,23,CHO,3,0,3.7,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.3,0.7,.500,0.3,1.0,1.3,0.0,0.0,0.0,0.0,0.7,1.7
358,Josh Richardson,SG,27,DAL,8,8,32.5,4.9,11.9,.411,2.0,6.3,.320,2.9,5.6,.511,.495,2.0,2.1,.941,1.1,1.8,2.9,1.6,0.9,0.3,1.3,3.8,13.8
359,Austin Rivers,SG,28,NYK,4,0,26.0,5.3,8.8,.600,2.8,5.0,.550,2.5,3.8,.667,.757,0.0,0.0,,0.3,1.8,2.0,2.5,1.0,0.0,1.5,1.5,13.3
360,Duncan Robinson,SF,26,MIA,7,7,29.7,3.6,8.6,.417,3.3,8.0,.411,0.3,0.6,.500,.608,1.4,1.7,.833,0.0,4.4,4.4,1.4,0.9,0.1,1.6,1.9,11.9
361,Glenn Robinson III,SF,27,SAC,5,0,19.0,2.4,5.0,.480,0.8,2.0,.400,1.6,3.0,.533,.560,1.4,1.6,.875,0.6,1.8,2.4,1.0,0.0,0.2,0.2,0.8,7.0
362,Jerome Robinson,SG,23,WAS,5,0,13.2,1.0,3.0,.333,0.4,1.2,.333,0.6,1.8,.333,.400,0.6,0.6,1.000,0.0,1.2,1.2,1.2,0.4,0.0,0.6,2.4,3.0
363,Mitchell Robinson,C,22,NYK,8,8,29.5,4.0,6.5,.615,0.0,0.0,,4.0,6.5,.615,.615,0.6,1.1,.556,3.4,5.1,8.5,0.5,1.5,1.9,0.9,3.0,8.6
364,Isaiah Roby,PF,22,OKC,4,1,20.3,3.8,6.0,.625,0.8,2.0,.375,3.0,4.0,.750,.688,0.3,1.8,.143,2.0,2.3,4.3,0.5,0.3,0.8,1.5,2.5,8.5
365,Rajon Rondo,PG,34,ATL,2,0,15.5,2.5,5.0,.500,1.0,2.5,.400,1.5,2.5,.600,.600,0.0,0.0,,0.5,0.5,1.0,7.0,0.5,0.5,1.0,0.5,6.0
366,Derrick Rose,PG,32,DET,7,0,24.3,5.7,13.6,.421,0.9,2.9,.300,4.9,10.7,.453,.453,3.0,3.7,.808,0.4,1.9,2.3,5.4,1.0,0.3,2.4,1.4,15.3
367,Terrence Ross,SG,29,ORL,7,0,28.0,7.0,14.1,.495,3.0,6.4,.467,4.0,7.7,.519,.601,3.7,4.1,.897,0.4,1.9,2.3,1.1,1.6,0.1,1.4,1.9,20.7
368,Terry Rozier,SG,26,CHO,8,8,31.0,6.9,14.5,.474,3.4,7.6,.443,3.5,6.9,.509,.591,3.5,4.3,.824,0.6,2.5,3.1,2.8,1.0,0.6,2.0,2.4,20.6
369,Ricky Rubio,PG,30,MIN,8,3,23.6,2.3,5.8,.391,0.6,2.3,.278,1.6,3.5,.464,.446,1.0,1.1,.889,0.4,2.4,2.8,4.9,1.5,0.0,1.5,2.6,6.1
370,D'Angelo Russell,PG,24,MIN,8,7,30.1,7.4,16.4,.450,3.0,7.4,.407,4.4,9.0,.486,.542,2.3,3.3,.692,0.5,2.5,3.0,5.1,1.3,0.4,3.5,2.5,20.0
371,Domantas Sabonis,PF,24,IND,8,8,37.1,8.0,13.9,.577,1.1,2.1,.529,6.9,11.8,.585,.617,3.6,5.4,.674,2.4,9.0,11.4,6.4,0.8,0.6,3.8,4.1,20.8
372,Luka Šamanić,PF,21,SAS,3,0,2.7,0.3,1.7,.200,0.3,0.7,.500,0.0,1.0,.000,.300,0.3,0.7,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
373,JaKarr Sampson,PF,27,IND,3,0,4.3,0.7,1.0,.667,0.0,0.3,.000,0.7,0.7,1.000,.667,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.3,0.0,1.0,2.3
374,Dario Šarić,PF,26,PHO,4,0,16.5,4.0,7.8,.516,1.8,4.0,.438,2.3,3.8,.600,.629,1.5,1.8,.857,0.5,4.0,4.5,1.0,0.5,0.0,1.8,2.0,11.3
375,Tomáš Satoranský,SG,29,CHI,3,0,22.7,2.3,5.0,.467,0.7,2.0,.333,1.7,3.0,.556,.533,1.0,1.0,1.000,0.7,1.7,2.3,6.0,1.3,0.3,2.7,0.7,6.3
376,Dennis Schröder,SG,27,LAL,9,9,30.7,5.8,13.4,.430,1.2,3.8,.324,4.6,9.7,.471,.475,1.9,2.3,.810,0.4,3.7,4.1,4.7,0.6,0.1,2.7,2.4,14.7
377,Mike Scott,PF,32,PHI,5,0,16.0,1.4,4.2,.333,1.0,3.8,.263,0.4,0.4,1.000,.452,0.4,0.6,.667,0.6,2.0,2.6,0.0,0.4,0.2,0.6,1.2,4.2
